Treatment,Replication,initialJ2,finalJ2,Mortality
88,B,52,47,10
88,C,47,42,11
88,D,43,38,12
89,A,55,51,7
89,B,54,46,15
89,C,53,47,11
89,D,61,57,7
90,A,52,49,6
90,B,59,56,5
90,C,45,42,7
90,D,43,41,5
91,A,41,39,5
91,B,53,51,4
91,C,58,55,5
91,D,63,57,10
92,A,76,76,0
92,B,62,60,3
92,C,39,37,5
92,D,46,43,7
93,A,53,50,6
93,B,43,40,7
93,C,42,37,12
93,D,49,44,10
94,A,74,70,5
94,B,74,69,7
94,C,90,85,6
94,D,69,67,3
95,A,41,40,2
95,B,50,47,6
95,C,32,31,3
95,D,60,58,3
97,A,70,68,3
97,B,66,62,6
97,C,60,58,3
97,D,68,64,6
98,A,45,45,0
98,B,38,37,3
98,C,39,37,5
98,D,28,27,4
99,A,33,30,9
99,B,33,32,3
99,C,22,21,5
99,D,48,46,4
100,A,43,41,5
100,B,36,34,6
100,C,42,40,5
100,D,40,38,5
101,A,46,44,4
101,B,59,57,3
101,C,56,54,4
101,D,45,44,2
103,A,81,56,31
103,B,95,80,16
103,C,86,60,30
103,D,91,65,29
104,A,44,44,0
104,B,44,44,0
104,C,49,48,2
104,D,54,52,4
105,A,49,43,12
105,B,39,36,8
105,C,58,55,5
105,D,37,33,11
106,A,31,30,3
106,B,29,29,0
106,C,39,38,3
106,D,39,39,0
107,A,42,37,12
107,B,38,36,5
107,C,26,25,4
107,D,28,25,11
108,A,42,40,5
108,B,42,39,7
108,C,36,34,6
108,D,42,41,2
110,A,28,27,4
110,B,34,33,3
110,C,30,28,7
110,D,44,43,2
111,A,78,69,12
111,B,82,72,12
111,C,86,81,6
111,D,73,68,7
112,A,65,63,3
112,B,63,62,2
112,C,58,57,2
112,D,70,67,4
113,A,80,78,3
113,B,80,77,4
113,C,75,74,1
113,D,72,70,3
114,A,49,49,0
114,B,42,42,0
114,C,43,42,2
114,D,38,38,0
115,A,39,37,5
115,B,43,43,0
115,C,38,37,3
115,D,22,22,0
117,A,39,37,5
117,B,37,36,3
117,C,54,52,4
117,D,40,39,3
118,A,60,56,7
118,B,50,46,8
118,C,48,46,4
118,D,41,39,5
119,A,43,43,0
119,B,37,36,3
119,C,49,48,2
119,D,58,58,0
121,A,59,54,8
121,B,52,49,6
121,C,56,49,13
121,D,60,53,12
122,A,46,35,24
122,B,53,46,13
122,C,54,49,9
122,D,65,58,11
123,A,82,75,9
123,B,64,59,8
123,C,58,52,10
123,D,67,59,12
124,A,61,57,7
124,B,55,47,15
124,C,49,46,6
124,D,74,66,11
125,A,60,53,12
125,B,43,38,12
125,C,45,38,16
125,D,59,55,7
126,A,52,47,10
126,B,54,48,11
126,C,55,50,9
126,D,77,71,8
128,A,37,36,3
128,B,43,43,0
128,C,48,47,2
128,D,42,41,2
129,A,41,38,7
129,B,61,54,11
129,C,53,49,8
129,D,67,59,12
130,A,47,41,13
130,B,62,57,8
130,C,59,53,10
130,D,44,38,14
131,A,45,45,0
131,B,39,38,3
131,C,38,37,3
131,D,45,45,0
133,A,70,67,4
133,B,65,62,5
133,C,75,70,7
133,D,71,69,3
134,A,67,61,9
134,B,62,56,10
134,C,62,56,10
134,D,51,45,12
135,A,50,49,2
135,B,41,41,0
135,C,50,50,0
135,D,38,38,0
136,A,66,58,12
136,B,53,48,9
136,C,50,45,10
136,D,54,51,6
137,A,48,39,19
137,B,53,49,8
137,C,60,52,13
137,D,44,38,14
138,A,56,52,7
138,B,41,38,7
138,C,62,56,10
138,D,51,46,10
139,A,52,47,10
139,B,47,44,6
139,C,47,40,15
139,D,49,46,6
141,A,44,43,2
141,B,49,48,2
141,C,36,34,6
141,D,36,34,6
143,A,38,38,0
143,B,50,50,0
143,C,40,40,0
143,D,41,38,7
146,A,45,42,7
146,B,52,49,6
146,C,62,59,5
146,D,38,36,5
147,A,44,44,0
147,B,55,55,0
147,C,57,55,4
147,D,63,62,2
148,A,42,41,2
148,B,38,38,0
148,C,40,39,3
148,D,55,52,5
149,A,18,17,6
149,B,29,26,10
149,C,36,33,8
149,D,47,44,6
150,A,42,40,5
150,B,54,53,2
150,C,64,63,2
150,D,52,51,2
151,A,47,45,4
151,B,53,49,8
151,C,33,31,6
151,D,55,52,5
152,A,47,42,11
152,B,67,57,15
152,C,62,57,8
152,D,52,44,15
153,A,43,43,0
153,B,62,60,3
153,C,44,41,7
153,D,38,35,8
154,A,49,47,4
154,B,44,42,5
154,C,57,56,2
154,D,63,58,8
155,A,51,50,2
155,B,53,51,4
155,C,66,60,9
155,D,45,43,4
156,A,69,67,3
156,B,67,65,3
156,C,64,62,3
156,D,60,59,2
157,A,46,42,9
157,B,38,33,13
157,C,41,33,20
157,D,64,59,8
158,A,47,47,0
158,B,36,36,0
158,C,51,50,2
158,D,48,47,2
159,A,49,48,2
159,B,60,59,2
159,C,58,57,2
159,D,63,61,3
160,A,38,35,8
160,B,41,40,2
160,C,48,48,0
160,D,33,32,3
162,A,45,45,0
162,B,41,41,0
162,C,35,34,3
162,D,43,42,2
163,A,55,55,0
163,B,40,37,8
163,C,33,32,3
163,D,42,41,2
164,A,35,35,0
164,B,43,42,2
164,C,52,51,2
164,D,54,54,0
165,A,34,34,0
165,B,50,49,2
165,C,48,47,2
165,D,42,41,2
166,A,53,51,4
166,B,35,35,0
166,C,47,47,0
166,D,47,47,0
167,A,37,34,8
167,B,44,42,5
167,C,32,30,6
167,D,52,49,6
168,A,54,49,9
168,B,42,39,7
168,C,51,51,0
168,D,44,44,0
169,A,53,53,0
169,B,33,33,0
169,C,45,40,11
169,D,53,51,4
170,A,62,59,5
170,B,39,37,5
170,C,43,42,2
170,D,46,43,7
171,A,47,46,2
171,B,55,54,2
171,C,61,61,0
171,D,49,47,4
172,A,42,42,0
172,B,58,54,7
172,C,61,61,0
172,D,64,60,6
174,A,43,41,5
174,B,53,52,2
174,C,43,43,0
174,D,28,27,4
175,A,52,50,4
175,B,49,49,0
175,C,44,44,0
175,D,60,59,2
176,A,42,40,5
176,B,46,40,13
176,C,40,36,10
176,D,35,34,3
177,A,30,29,3
177,B,41,39,5
177,C,40,40,0
177,D,34,34,0
178,A,48,47,2
178,B,28,26,7
178,C,42,42,0
178,D,38,38,0
180,A,50,49,2
180,B,40,37,8
180,C,51,49,4
180,D,53,49,8
181,A,55,53,4
181,B,37,36,3
181,C,62,61,2
181,D,38,38,0
182,A,46,44,4
182,B,65,64,2
182,C,55,54,2
182,D,48,48,0
183,A,50,50,0
183,B,56,55,2
183,C,43,40,7
183,D,46,46,0
184,A,47,45,4
184,B,44,43,2
184,C,42,41,2
184,D,45,43,4
185,A,49,48,2
185,B,56,56,0
185,C,80,76,5
185,D,39,39,0
187,A,51,50,2
187,B,47,47,0
187,C,56,55,2
187,D,39,38,3
188,A,33,32,3
188,B,43,41,5
188,C,35,34,3
188,D,29,29,0
189,A,62,57,8
189,B,56,52,7
189,C,67,63,6
189,D,46,41,11
190,A,43,40,7
190,B,41,40,2
190,C,40,37,8
190,D,31,30,3
191,A,35,35,0
191,B,28,28,0
191,C,43,42,2
191,D,33,33,0
192,A,42,42,0
192,B,51,51,0
192,C,37,36,3
192,D,41,39,5
193,A,59,58,2
193,B,67,67,0
193,C,55,52,5
193,D,49,49,0
194,A,49,44,10
194,B,45,42,7
194,C,49,45,8
194,D,68,62,9
195,A,37,37,0
195,B,60,57,5
195,C,55,50,9
195,D,57,56,2
196,A,44,44,0
196,B,41,40,2
196,C,53,51,4
196,D,38,38,0
197,A,57,57,0
197,B,44,44,0
197,C,48,48,0
197,D,35,35,0
198,A,31,30,3
198,B,46,44,4
198,C,48,47,2
198,D,45,45,0
199,A,51,51,0
199,B,48,47,2
199,C,43,42,2
199,D,53,53,0
200,A,43,43,0
200,B,51,49,4
200,C,68,67,1
200,D,70,68,3
201,A,61,59,3
201,B,79,78,1
201,C,57,56,2
201,D,79,78,1
203,A,39,36,8
203,B,48,45,6
203,C,30,27,10
203,D,47,44,6
204,A,80,55,31
204,B,90,50,44
204,C,83,54,35
204,D,85,69,19
206,A,65,45,31
206,B,56,48,14
206,C,58,52,10
206,D,47,22,53
207,A,118,112,5
207,B,192,184,4
207,C,135,128,5
207,D,125,121,3
208,A,82,77,6
208,B,64,59,8
208,C,90,83,8
208,D,112,103,8
209,A,94,89,5
209,B,114,112,2
209,C,91,89,2
209,D,100,96,4
210,A,91,87,4
210,B,82,77,6
210,C,104,96,8
210,D,109,104,5
211,A,92,78,15
211,B,67,57,15
211,C,65,57,12
211,D,54,44,19
212,A,116,107,8
212,B,90,85,6
212,C,90,86,4
212,D,100,97,3
213,A,80,76,5
213,B,112,109,3
213,C,129,123,5
213,D,137,131,4
214,A,119,115,3
214,B,80,79,1
214,C,81,79,3
214,D,75,72,4
215,A,45,44,2
215,B,89,86,3
215,C,60,58,3
215,D,85,83,2
216,A,215,212,1
216,B,85,83,2
216,C,95,93,2
